,net_amount
0,270074.74978017807
1,1624466.1457955241
2,1332051.964747727
3,1401397.3774796724
4,880748.8806967735
5,921503.504447639
6,971726.8596461415
7,1012763.537885204
8,760125.0407088399
9,1264559.0612087846
10,1073122.1048121303
11,1125681.3828399181
12,1544774.943629682
13,1563259.4811447263
14,1590729.023538053
15,2170250.4369246364
16,1555443.472064793
17,1166591.7603942752
18,1566090.529497683
19,1402690.3124315143
20,1613818.9309224486
21,1073982.7970135808
22,1356285.351230979
23,1245011.3725764155
24,1407118.741223693
25,1563505.5198240876
26,1453115.9244938493
27,1186471.3957042694
28,1263801.3730675578
29,1112322.2963906527
30,1255476.1802396774
31,1174839.1378818527
32,0.0
33,605804.2469653487
34,725692.4512509704
35,1124190.8228635788
36,1345844.1802746058
37,1904305.0150917768
38,2571686.664618969
39,4079752.0671753287
40,5206601.144066371
41,4606518.085248768
42,4672961.334317207
43,2654101.9355975986
44,3685978.6207258105
45,2555805.577202916
46,2291640.299621284
47,2105658.314753294
48,2454926.8780997396
49,2952449.957225263
50,2657730.633518219
51,25032.11006116867
52,1998.2700271606445
53,1215320.75775069
54,1648910.1314209104
55,1676467.0016284585
56,1095743.575015843
57,1351845.7565988898
58,882152.5351486206
59,985904.9760866761
60,1217692.4635703564
61,1635732.2978405356
62,1082559.666461885
63,1349946.9871971607
64,1617878.996391356
65,1521716.9362262487
66,1993331.9488437772
67,1825556.7580360174
68,1115787.925639093
69,1132714.5651351213
70,2022069.9611607194
71,2019348.5745179653
72,1333975.6489732862
73,1178492.5438249111
74,1246896.3076954484
75,1226732.9566782713
76,1289826.6458253264
77,1420052.7757819295
78,1269114.4761691093
79,1239781.5960077047
80,1832571.0116080642
81,1439287.7589036226
82,1830509.6082371473
83,1128043.5669388175
84,0.0
85,572519.7530667186
86,923358.7549133301
87,1574534.6406995654
88,1217708.2356826067
89,1745208.8307397068
90,3770601.0810666457
91,4272513.004260063
92,3908623.805791557
93,5054407.5838881135
94,3781740.9671962857
95,1745552.292211175
96,3346305.5996504426
97,2220355.02329731
98,2274932.822283089
99,2080978.6718958616
100,2776052.0950687528
101,2843445.355355516
102,2733908.8854056597
103,601742.8748416901
104,0.0
105,1486200.669776976
106,1681090.7107661963
107,1622216.168556571
108,1429620.8185848594
109,1280006.3477503657
110,594737.2029923201
111,1060536.8546651006
112,701024.5235218406
113,1230274.027757883
114,1029193.0056937337
115,927424.5053226948
116,1747342.0843686461
117,1615282.1256949902
118,1490119.327821374
119,1650066.4173648953
120,904404.4734301567
121,1576710.7459537983
122,1693458.9387583584
123,1241140.6668182015
124,1341844.795102477
125,1470075.8760485053
126,1373743.7096966505
127,2251822.055871427
128,1422198.4183331728
129,1347277.2572771907
130,1347373.6251670122
131,1519403.1013078094
132,1668537.4291164875
133,1090996.8971271515
134,1391322.617267549
135,1682392.0401843786
136,0.0
137,710206.5530364513
138,688778.7234742045
139,1630691.288556099
140,784929.3942993879
141,2179952.2615671754
142,4475197.146214306
143,4820534.739355922
144,4261397.89725709
145,3580337.597709179
146,2526762.6414316893
147,2587324.118972838
148,2659657.4102057815
149,2312259.950220585
150,2328417.869435847
151,2436633.278713897
152,2690599.130583048
153,2303198.2707812786
154,3235217.7044810653
155,690701.5837715268
156,0.0
157,1033949.4264448881
158,1954085.9225871563
159,1096296.4760363102
160,711653.2241283655
161,1392942.6168541312
162,898779.4765495658
163,1416556.853609264
164,1173287.4653488994
165,1377294.5166133642
166,1487234.4083602428
167,1056665.1259273887
168,1585345.3825478554
169,1619825.6778423786
170,1288315.3558745384
171,1683188.458632946
172,1287855.506625414
173,858532.0328912139
174,1413664.997862339
175,2331717.250018358
176,2481398.94319427
177,1864275.7606876194
178,862984.0641338304
179,1236362.9492222667
180,1359810.1987723708
181,1444229.1235678494
182,1461179.5143498182
183,1711302.5376726985
184,1430865.0548936725
185,1063063.0452189445
186,1152856.4350889325
187,1589022.4988644123
188,519193.47197300196
189,0.0
190,914933.1343907118
191,927017.9157400727
192,1080745.685479045
193,709852.8632335067
194,4044002.54478693
195,5357724.518708246
196,4541651.364095986
197,4176163.0932689905
198,3134522.415112598
199,2428848.313123107
200,2675977.2924413085
201,2961951.4538356066
202,2653885.3533536196
203,2373462.990360379
204,2514329.711696282
205,2443774.9990390483
206,3309486.2434210777
207,905083.474831704
208,0.0
209,901678.2349749804
210,1462415.3576571345
211,1310642.5574769378
212,1069747.266136296
213,994316.9759516716
214,1136639.7168260217
215,1227593.705992043
216,1222684.6673779637
217,1093114.0564624667
218,1095813.3156458735
219,1184832.8770099282
220,1806794.944130361
221,1262230.5125121474
222,1658544.635421753
223,1670923.1765230298
224,1838618.4572992325
225,1055702.774847865
226,1099487.3059203029
227,1167947.6141488552
228,1455541.7950826287
229,1212136.0737236142
230,822672.471445322
231,1456075.3271573186
232,1270056.6478529572
233,1112619.356014192
234,1072009.8232660294
235,1350270.448246181
236,1197858.1863958836
237,1543899.4296571612
238,1105771.2453904394
239,1496212.3692505956
240,990065.0651592463
241,0.0
242,861860.9040136337
243,784054.6445322037
244,987162.4564040303
245,1055274.8447861373
246,3980474.415787548
247,4010482.3121260405
248,4082316.7926824093
249,3455190.4804075398
250,2566690.194111645
251,2544169.721508501
252,2066144.289678812
253,2991207.4241966605
254,2754316.1533504725
255,2498737.1795437336
256,2586455.31231755
257,2235008.010710776
258,3029043.302854061
259,2538255.6295560338
260,62551.980088710785
261,525319.0017666221
262,1457513.919961989
263,1400318.199453771
264,1430408.969980657
265,1236553.8884288669
266,872050.8865175843
267,1193093.9289890733
268,1459132.8147237897
269,1025905.8562034369
270,1716932.2386499643
271,1072926.785622239
272,1332668.0746414065
273,1563357.2449892163
274,1499873.7069674134
275,1724538.6261546686
276,1244547.0243412256
277,1064667.2558395416
278,1181750.8362783939
279,1740306.231003821
280,1517313.5776085854
281,1372474.1269493103
282,1399036.0972089171
283,1523001.422113955
284,1108263.750178853
285,1394274.5454704762
286,1537024.3656309992
287,1327882.6180516481
288,891843.258426249
289,1051310.8800305128
290,841482.7592979074
291,1206008.4400147796
292,951728.8995947242
293,542532.7887576222
294,996348.658082163
295,887801.2980888486
296,1007525.8186832033
297,1004817.3200837374
298,3685767.454650402
299,4918186.6477108
300,3803631.791572392
301,4012524.3597243894
302,2326005.404840827
303,2228187.776777625
304,1611766.0083378553
305,2790947.7176928446
306,2713714.906045258
307,2092446.32907027
308,2203214.949579783
309,2455723.528870702
310,3004264.657749906
311,2709689.48831477
312,895134.1709622145
313,675817.9893581867
314,1551892.5528505445
315,947015.6098538637
316,1116490.2020852976
317,803370.309421245
318,1205288.9110425115
319,1300526.252713263
320,715065.2401779294
321,850372.4493418336
322,968404.8698875904
323,1044919.1185914557
324,2056935.5556922108
325,1769988.9865157306
326,1358959.6167294383
327,1777154.9851459265
328,1848636.5446664095
329,1176721.310289979
330,595228.1182917356
331,1534747.3212681413
332,1224107.8659724593
333,752062.7479148507
334,1184505.8098450508
335,1302120.7184608933
336,1337142.7278456818
337,1442232.1565761566
338,1485247.6302828789
339,1104422.0984098315
340,999137.038130641
341,803064.9484774768
342,1080648.6063274145
343,1069442.2881951742
344,1132554.4596651196
345,68.86000084877014
346,564000.0989000797
347,646053.0485525131
348,1022106.9884067178
349,871441.1783642173
350,2193964.188147124
351,3477899.788613176
352,4132623.7360651493
353,4241467.420133926
354,2772626.0714070797
355,2330910.1933093593
356,1720666.5338677391
357,2628809.896109998
358,3121606.0432293415
359,1887036.6586306468
360,2407114.299610615
361,2695696.1662796736
362,2738166.787449479
363,3520768.6940393075
364,133777.8497917652
365,572611.3094809055
366,1476727.3000359312
367,1421624.9716536775
368,1054385.639128983
369,989402.287431512
370,1109800.2094386816
371,1019277.2001792192
372,930523.1925975997
373,944102.8311056495
374,1449465.6828425713
375,965754.8022912145
376,1468469.9579266906
377,1651245.624888122
378,1647294.054054439
379,1954930.8130879402
380,1404258.3463265821
381,599030.3102071285
382,1111097.4719697833
383,1398026.2228273302
384,1466070.216526568
385,1340075.8575651627
386,782635.9789699912
387,1032978.6279031038
388,895882.3397427201
389,948846.0792848766
390,2099655.483160857
391,2123732.219836235
392,814973.6294679046
393,867130.6694269776
394,962971.199441433
395,1076919.1483853012
396,1196029.8298861384
397,0.0
398,498426.5693843961
399,840397.3780025244
400,874034.9181471411
401,974452.9193711765
402,1906624.6791850924
403,1898808.110007517
404,1872540.4589805603
405,4402657.781254292
406,4715148.641727146
407,3485261.439364016
408,2037775.1779260635
409,2421337.927649975
410,2055375.3304163218
411,4061759.73295033
412,2135908.958564222
413,2250207.668895006
414,152458.9296617508
415,4316564.275102317
416,1061193.7285387516
417,958097.4967606068
418,1440472.4513100982
419,1474818.6274737716
420,1173038.5010552313
421,993321.9689673185
422,1162899.1261422634
423,929601.8378255963
424,1050195.7278206348
425,502211.93888007104
426,1607038.0817835927
427,551652.656629324
428,12080.0
429,13269.040008544922
430,29176.14999818802
431,402429.6782734394
432,143340.48066973686
433,394208.9992786646
434,683755.4266543686
435,425633.6787231136
436,375204.4190353155
437,1032842.5420919657
438,1405232.474327743
439,1484292.9123817459
440,1371431.868392339
441,1049916.3689993024
442,1189528.610759914
443,1385217.227749586
444,1492677.5109661818
445,1305057.0904134512
446,702130.9298656583
447,896157.7496746927
448,1127020.4588879347
449,468754.87920600176
450,507326.7999113295
451,514154.999081254
452,906875.339359343
453,955387.6786422133
454,1757255.5882991552
455,3875635.083961606
456,3095380.370920159
457,3412224.7394245267
458,2229821.1053950824
459,1402617.5548565388
460,1152822.9626049697
461,1191362.2706272006
462,2349289.9297299385
463,1892641.0008752495
464,1387132.620140493
465,1842508.9609124213
466,1943592.841704905
467,2869623.1118031144
468,1827144.1194750816
469,259823.90993261337
470,1130981.1884506345
471,2198117.444875598
472,1375420.0883421004
473,677758.0885521173
474,1155314.2572857141
475,906398.5387752652
476,719429.5187029243
477,673063.8187408969
478,1001926.0101143792
479,1127962.1783701628
480,1660517.1359469146
481,1173526.4458879195
482,1296472.7230781317
483,767828.6075122356
484,1298749.4668933097
485,463389.86916571856
